MED_MNEMONIC	RXCUI	RXNORM_DESCRIPTION	GENERIC	GENERIC_NAME	ATC	LEVEL4_DESCRIPTION	LEVEL3	LEVEL3_DESCRIPTION	LEVEL2	LEVEL2_DESCRIPTION	LEVEL1	LEVEL1_DESCRIPTION
8208	AUSTEDO12 MG	1876910	deutetrabenazine 12 MG Oral Tablet	1876905	deutetrabenazine	N07XX	OTHER NERVOUS SYSTEM DRUGS	N07X	OTHER NERVOUS SYSTEM DRUGS	N07	OTHER NERVOUS SYSTEM DRUGS	N	NERVOUS SYSTEM
8209	BENZ2MGT	885209	benztropine mesylate 2 MG Oral Tablet	1424	benztropine	N04AC	ETHERS OF TROPINE OR TROPINE DERIVATIVES	N04A	ANTICHOLINERGIC AGENTS	N04	ANTI-PARKINSON DRUGS	N	NERVOUS SYSTEM
8210	FLUNISOLIDE25 M1	1797863	flunisolide 0.025 MG/ACTUAT Metered Dose Nasal Spray	25120	flunisolide	R01AD	CORTICOSTEROIDS	R01A	DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE	R01	NASAL PREPARATIONS	R	RESPIRATORY SYSTEM
8211	FLUNISOLIDE25 M1	1797863	flunisolide 0.025 MG/ACTUAT Metered Dose Nasal Spray	25120	flunisolide	R03BA	GLUCOCORTICOIDS	R03B	OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS	R03	DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES	R	RESPIRATORY SYSTEM
8212	DEPAKENE250 MG/5 M	1099689	valproic acid 50 MG/ML Oral Solution [Depakene]	40254	valproate	N03AG	FATTY ACID DERIVATIVES	N03A	ANTIEPILEPTICS	N03	ANTIEPILEPTICS	N	NERVOUS SYSTEM
8213	HUMALOG100 UNITS/	242120	insulin lispro 100 UNT/ML Injectable Solution	86009	insulin lispro	A10AB	INSULINS AND ANALOGUES FOR INJECTION, FAST-ACTING	A10A	INSULINS AND ANALOGUES	A10	DRUGS USED IN DIABETES	A	ALIMENTARY TRACT AND METABOLISM
8214	HUMALOG100 UNITS/	242120	insulin lispro 100 UNT/ML Injectable Solution	86009	insulin lispro	A10AC	INSULINS AND ANALOGUES FOR INJECTION, INTERMEDIATE-ACTING	A10A	INSULINS AND ANALOGUES	A10	DRUGS USED IN DIABETES	A	ALIMENTARY TRACT AND METABOLISM
8215	HUMALOG100 UNITS/	242120	insulin lispro 100 UNT/ML Injectable Solution	86009	insulin lispro	A10AD	INSULINS AND ANALOGUES FOR INJECTION, INTERMEDIATE- OR LONG-ACTING COMBINED WITH FAST-ACTING	A10A	INSULINS AND ANALOGUES	A10	DRUGS USED IN DIABETES	A	ALIMENTARY TRACT AND METABOLISM
8216	ZYPREXA ZYD10 MG/TAB	754503	olanzapine 10 MG Disintegrating Oral Tablet [Zyprexa]	61381	olanzapine	N05AH	DIAZEPINES, OXAZEPINES, THIAZEPINES AND OXEPINES	N05A	ANTIPSYCHOTICS	N05	PSYCHOLEPTICS	N	NERVOUS SYSTEM
8217	VITAMIN B12 5500 MC1	313896	vitamin B12 0.5 MG Oral Tablet	11248	vitamin B12	B03BA	VITAMIN B12 (CYANOCOBALAMIN AND ANALOGUES)	B03B	VITAMIN B12 AND FOLIC ACID	B03	ANTIANEMIC PREPARATIONS	B	BLOOD AND BLOOD FORMING ORGANS
8218	FLUVOXAMINE MAL50 MG	903891	fluvoxamine maleate 50 MG Oral Tablet	42355	fluvoxamine	N06AB	SELECTIVE SEROTONIN REUPTAKE INHIBITORS	N06A	ANTIDEPRESSANTS	N06	PSYCHOANALEPTICS	N	NERVOUS SYSTEM
8219	VITAMIN D3400 UNI1	309263	cholecalciferol 0.01 MG Oral Tablet	2418	cholecalciferol	A11CC	VITAMIN D AND ANALOGUES	A11C	VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO	A11	VITAMINS	A	ALIMENTARY TRACT AND METABOLISM
8220	KENALOG 0.1% TR15 GM	1014314	triamcinolone acetonide 1 MG/ML Topical Cream	10759	triamcinolone	A01AC	CORTICOSTEROIDS FOR LOCAL ORAL TREATMENT	A01A	STOMATOLOGICAL PREPARATIONS	A01	STOMATOLOGICAL PREPARATIONS	A	ALIMENTARY TRACT AND METABOLISM
8221	KENALOG 0.1% TR15 GM	1014314	triamcinolone acetonide 1 MG/ML Topical Cream	10759	triamcinolone	C05AA	CORTICOSTEROIDS	C05A	AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE	C05	VASOPROTECTIVES	C	CARDIOVASCULAR SYSTEM
8222	KENALOG 0.1% TR15 GM	1014314	triamcinolone acetonide 1 MG/ML Topical Cream	10759	triamcinolone	D07AB	CORTICOSTEROIDS, MODERATELY POTENT (GROUP II)	D07A	CORTICOSTEROIDS, PLAIN	D07	CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS	D	DERMATOLOGICALS
8223	KENALOG 0.1% TR15 GM	1014314	triamcinolone acetonide 1 MG/ML Topical Cream	10759	triamcinolone	D07XB	CORTICOSTEROIDS, MODERATELY POTENT, OTHER COMBINATIONS	D07X	CORTICOSTEROIDS, OTHER COMBINATIONS	D07	CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS	D	DERMATOLOGICALS
8224	KENALOG 0.1% TR15 GM	1014314	triamcinolone acetonide 1 MG/ML Topical Cream	10759	triamcinolone	H02AB	GLUCOCORTICOIDS	H02A	CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN	H02	CORTICOSTEROIDS FOR SYSTEMIC USE	H	SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS
8225	KENALOG 0.1% TR15 GM	1014314	triamcinolone acetonide 1 MG/ML Topical Cream	10759	triamcinolone	R01AD	CORTICOSTEROIDS	R01A	DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE	R01	NASAL PREPARATIONS	R	RESPIRATORY SYSTEM
8226	KENALOG 0.1% TR15 GM	1014314	triamcinolone acetonide 1 MG/ML Topical Cream	10759	triamcinolone	R03BA	GLUCOCORTICOIDS	R03B	OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS	R03	DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES	R	RESPIRATORY SYSTEM
8227	KENALOG 0.1% TR15 GM	1014314	triamcinolone acetonide 1 MG/ML Topical Cream	10759	triamcinolone	S01BA	CORTICOSTEROIDS, PLAIN	S01B	ANTIINFLAMMATORY AGENTS	S01	OPHTHALMOLOGICALS	S	SENSORY ORGANS
8228	PAXIL 20MG TABL20 MG	314199	Paroxetine 20 MG Oral Tablet	32937	paroxetine hydrochloride 20 MG Oral Tablet	N06AB	SELECTIVE SEROTONIN REUPTAKE INHIBITORS	N06A	ANTIDEPRESSANTS	N06	PSYCHOANALEPTICS	N	NERVOUS SYSTEM
8229	ELAVIL75 MG	856853	amitriptyline hydrochloride 75 MG Oral Tablet	704	amitriptyline	N06AA	NON-SELECTIVE MONOAMINE REUPTAKE INHIBITORS	N06A	ANTIDEPRESSANTS	N06	PSYCHOANALEPTICS	N	NERVOUS SYSTEM
8230	APRISO0.375 GM	825134	24 HR mesalamine 375 MG Extended Release Oral Capsule [Apriso]	52582	mesalamine	A07EC	AMINOSALICYLIC ACID AND SIMILAR AGENTS	A07E	INTESTINAL ANTIINFLAMMATORY AGENTS	A07	ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS	A	ALIMENTARY TRACT AND METABOLISM
8231	CITROMA296 ML	1245168	magnesium citrate 58.2 MG/ML Oral Solution [Citroma]	52356	magnesium citrate	A06AD	OSMOTICALLY ACTING LAXATIVES	A06A	DRUGS FOR CONSTIPATION	A06	DRUGS FOR CONSTIPATION	A	ALIMENTARY TRACT AND METABOLISM
8232	CITROMA296 ML	1245168	magnesium citrate 58.2 MG/ML Oral Solution [Citroma]	52356	magnesium citrate	A12CC	MAGNESIUM	A12C	OTHER MINERAL SUPPLEMENTS	A12	MINERAL SUPPLEMENTS	A	ALIMENTARY TRACT AND METABOLISM
8233	CITROMA296 ML	1245168	magnesium citrate 58.2 MG/ML Oral Solution [Citroma]	52356	magnesium citrate	B05CB	SALT SOLUTIONS	B05C	IRRIGATING SOLUTIONS	B05	BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS	B	BLOOD AND BLOOD FORMING ORGANS
8234	ZESTORETIC 10-1 EACH	197885	hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet	214618	hydrochlorothiazide / lisinopril	C09BA	ACE INHIBITORS AND DIURETICS	C09B	ACE INHIBITORS, COMBINATIONS	C09	AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM	C	CARDIOVASCULAR SYSTEM
8235	ULTRAM 50 MG	835603	tramadol hydrochloride 50 MG Oral Tablet	10689	tramadol	N02AX	OTHER OPIOIDS	N02A	OPIOIDS	N02	ANALGESICS	N	NERVOUS SYSTEM
8236	BONINE25 MG	995632	meclizine hydrochloride 25 MG Chewable Tablet	6676	meclizine	R06AE	PIPERAZINE DERIVATIVES	R06A	ANTIHISTAMINES FOR SYSTEMIC USE	R06	ANTIHISTAMINES FOR SYSTEMIC USE	R	RESPIRATORY SYSTEM
8237	CEPHULAC EQUIV30 ML	391937	lactulose 667 MG/ML Oral Solution	6218	lactulose	A06AD	OSMOTICALLY ACTING LAXATIVES	A06A	DRUGS FOR CONSTIPATION	A06	DRUGS FOR CONSTIPATION	A	ALIMENTARY TRACT AND METABOLISM
8238	PARLOT2.51	105446	bromocriptine 2.5 MG Oral Tablet [Parlodel]	1760	bromocriptine	G02CB	PROLACTINE INHIBITORS	G02C	OTHER GYNECOLOGICALS	G02	OTHER GYNECOLOGICALS	G	GENITO URINARY SYSTEM AND SEX HORMONES
8239	PARLOT2.51	105446	bromocriptine 2.5 MG Oral Tablet [Parlodel]	1760	bromocriptine	N04BC	DOPAMINE AGONISTS	N04B	DOPAMINERGIC AGENTS	N04	ANTI-PARKINSON DRUGS	N	NERVOUS SYSTEM
8240	NORVASC5 MG	212549	amlodipine 5 MG Oral Tablet [Norvasc]	17767	amlodipine	C08CA	DIHYDROPYRIDINE DERIVATIVES	C08C	SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS	C08	CALCIUM CHANNEL BLOCKERS	C	CARDIOVASCULAR SYSTEM
8241	CORTEF10 MG	197782	hydrocortisone 10 MG Oral Tablet	5492	hydrocortisone	A01AC	CORTICOSTEROIDS FOR LOCAL ORAL TREATMENT	A01A	STOMATOLOGICAL PREPARATIONS	A01	STOMATOLOGICAL PREPARATIONS	A	ALIMENTARY TRACT AND METABOLISM
8242	CORTEF10 MG	197782	hydrocortisone 10 MG Oral Tablet	5492	hydrocortisone	A07EA	CORTICOSTEROIDS ACTING LOCALLY	A07E	INTESTINAL ANTIINFLAMMATORY AGENTS	A07	ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS	A	ALIMENTARY TRACT AND METABOLISM
8243	CORTEF10 MG	197782	hydrocortisone 10 MG Oral Tablet	5492	hydrocortisone	C05AA	CORTICOSTEROIDS	C05A	AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE	C05	VASOPROTECTIVES	C	CARDIOVASCULAR SYSTEM
8244	CORTEF10 MG	197782	hydrocortisone 10 MG Oral Tablet	5492	hydrocortisone	D07AA	CORTICOSTEROIDS, WEAK (GROUP I)	D07A	CORTICOSTEROIDS, PLAIN	D07	CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS	D	DERMATOLOGICALS
8245	CORTEF10 MG	197782	hydrocortisone 10 MG Oral Tablet	5492	hydrocortisone	D07XA	CORTICOSTEROIDS, WEAK, OTHER COMBINATIONS	D07X	CORTICOSTEROIDS, OTHER COMBINATIONS	D07	CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS	D	DERMATOLOGICALS
8246	CORTEF10 MG	197782	hydrocortisone 10 MG Oral Tablet	5492	hydrocortisone	H02AB	GLUCOCORTICOIDS	H02A	CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN	H02	CORTICOSTEROIDS FOR SYSTEMIC USE	H	SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS
8247	CORTEF10 MG	197782	hydrocortisone 10 MG Oral Tablet	5492	hydrocortisone	S01BA	CORTICOSTEROIDS, PLAIN	S01B	ANTIINFLAMMATORY AGENTS	S01	OPHTHALMOLOGICALS	S	SENSORY ORGANS
8248	CORTEF10 MG	197782	hydrocortisone 10 MG Oral Tablet	5492	hydrocortisone	S01CB	CORTICOSTEROIDS/ANTIINFECTIVES/MYDRIATICS IN COMBINATION	S01C	ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION	S01	OPHTHALMOLOGICALS	S	SENSORY ORGANS
8249	CORTEF10 MG	197782	hydrocortisone 10 MG Oral Tablet	5492	hydrocortisone	S02BA	CORTICOSTEROIDS	S02B	CORTICOSTEROIDS	S02	OTOLOGICALS	S	SENSORY ORGANS
8250	BROMOCRIPTINE2.5 MG	197411	bromocriptine 2.5 MG Oral Tablet	1760	bromocriptine	G02CB	PROLACTINE INHIBITORS	G02C	OTHER GYNECOLOGICALS	G02	OTHER GYNECOLOGICALS	G	GENITO URINARY SYSTEM AND SEX HORMONES
8251	BROMOCRIPTINE2.5 MG	197411	bromocriptine 2.5 MG Oral Tablet	1760	bromocriptine	N04BC	DOPAMINE AGONISTS	N04B	DOPAMINERGIC AGENTS	N04	ANTI-PARKINSON DRUGS	N	NERVOUS SYSTEM
8252	ATIVAN2 MG/1 ML	238100	lorazepam 2 MG/ML Injectable Solution	6470	lorazepam	N05BA	BENZODIAZEPINE DERIVATIVES	N05B	ANXIOLYTICS	N05	PSYCHOLEPTICS	N	NERVOUS SYSTEM
8253	AZILECT1 MG	608328	rasagiline 1 MG Oral Tablet	134748	rasagiline	N04BD	MONOAMINE OXIDASE B INHIBITORS	N04B	DOPAMINERGIC AGENTS	N04	ANTI-PARKINSON DRUGS	N	NERVOUS SYSTEM
8254	HYDRALAZINE HCL25 MG	905225	hydralazine hydrochloride 25 MG Oral Tablet	5470	hydralazine	C02DB	HYDRAZINOPHTHALAZINE DERIVATIVES	C02D	ARTERIOLAR SMOOTH MUSCLE, AGENTS ACTING ON	C02	ANTIHYPERTENSIVES	C	CARDIOVASCULAR SYSTEM
8255	CORTEF 5MG TABLE5 MG	208680	hydrocortisone 5 MG Oral Tablet [Cortef]	5492	hydrocortisone	A01AC	CORTICOSTEROIDS FOR LOCAL ORAL TREATMENT	A01A	STOMATOLOGICAL PREPARATIONS	A01	STOMATOLOGICAL PREPARATIONS	A	ALIMENTARY TRACT AND METABOLISM
8256	CORTEF 5MG TABLE5 MG	208680	hydrocortisone 5 MG Oral Tablet [Cortef]	5492	hydrocortisone	A07EA	CORTICOSTEROIDS ACTING LOCALLY	A07E	INTESTINAL ANTIINFLAMMATORY AGENTS	A07	ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS	A	ALIMENTARY TRACT AND METABOLISM
8257	CORTEF 5MG TABLE5 MG	208680	hydrocortisone 5 MG Oral Tablet [Cortef]	5492	hydrocortisone	C05AA	CORTICOSTEROIDS	C05A	AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE	C05	VASOPROTECTIVES	C	CARDIOVASCULAR SYSTEM
8258	CORTEF 5MG TABLE5 MG	208680	hydrocortisone 5 MG Oral Tablet [Cortef]	5492	hydrocortisone	D07AA	CORTICOSTEROIDS, WEAK (GROUP I)	D07A	CORTICOSTEROIDS, PLAIN	D07	CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS	D	DERMATOLOGICALS
8259	CORTEF 5MG TABLE5 MG	208680	hydrocortisone 5 MG Oral Tablet [Cortef]	5492	hydrocortisone	D07XA	CORTICOSTEROIDS, WEAK, OTHER COMBINATIONS	D07X	CORTICOSTEROIDS, OTHER COMBINATIONS	D07	CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS	D	DERMATOLOGICALS
8260	CORTEF 5MG TABLE5 MG	208680	hydrocortisone 5 MG Oral Tablet [Cortef]	5492	hydrocortisone	H02AB	GLUCOCORTICOIDS	H02A	CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN	H02	CORTICOSTEROIDS FOR SYSTEMIC USE	H	SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS
8261	CORTEF 5MG TABLE5 MG	208680	hydrocortisone 5 MG Oral Tablet [Cortef]	5492	hydrocortisone	S01BA	CORTICOSTEROIDS, PLAIN	S01B	ANTIINFLAMMATORY AGENTS	S01	OPHTHALMOLOGICALS	S	SENSORY ORGANS
8262	CORTEF 5MG TABLE5 MG	208680	hydrocortisone 5 MG Oral Tablet [Cortef]	5492	hydrocortisone	S01CB	CORTICOSTEROIDS/ANTIINFECTIVES/MYDRIATICS IN COMBINATION	S01C	ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION	S01	OPHTHALMOLOGICALS	S	SENSORY ORGANS
8263	CORTEF 5MG TABLE5 MG	208680	hydrocortisone 5 MG Oral Tablet [Cortef]	5492	hydrocortisone	S02BA	CORTICOSTEROIDS	S02B	CORTICOSTEROIDS	S02	OTOLOGICALS	S	SENSORY ORGANS
8264	CHLOR-TRIMET4 MG/TAB	211387	chlorpheniramine maleate 4 MG Oral Tablet [Chlor-Trimeton]	2400	chlorpheniramine maleate 4 MG Oral Tablet [Chlor-Trimeton]	R06AB	SUBSTITUTED ALKYLAMINES	R06A	ANTIHISTAMINES FOR SYSTEMIC USE	R06	ANTIHISTAMINES FOR SYSTEMIC USE	R	RESPIRATORY SYSTEM
8265	LACTULOSE 20GM/30 ML	391937	lactulose 667 MG/ML Oral Solution	6218	lactulose	A06AD	OSMOTICALLY ACTING LAXATIVES	A06A	DRUGS FOR CONSTIPATION	A06	DRUGS FOR CONSTIPATION	A	ALIMENTARY TRACT AND METABOLISM
8266	HALDOL5 MG/1 ML	1719669	1 ML haloperidol 5 MG/ML Injection [Haldol]	5093	haloperidol	N05AD	BUTYROPHENONE DERIVATIVES	N05A	ANTIPSYCHOTICS	N05	PSYCHOLEPTICS	N	NERVOUS SYSTEM
8267	COUMADIN3 MG	855318	warfarin sodium 3 MG Oral Tablet	11289	warfarin	B01AA	VITAMIN K ANTAGONISTS	B01A	ANTITHROMBOTIC AGENTS	B01	ANTITHROMBOTIC AGENTS	B	BLOOD AND BLOOD FORMING ORGANS
8268	POTASSIUM CHLO10 ME2	628953	potassium chloride 10 MEQ Extended Release Oral Tablet	8591	potassium chloride	A12BA	POTASSIUM	A12B	POTASSIUM	A12	MINERAL SUPPLEMENTS	A	ALIMENTARY TRACT AND METABOLISM
8269	POTASSIUM CHLO10 ME2	628953	potassium chloride 10 MEQ Extended Release Oral Tablet	8591	potassium chloride	B05XA	ELECTROLYTE SOLUTIONS	B05X	I.V. SOLUTION ADDITIVES	B05	BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS	B	BLOOD AND BLOOD FORMING ORGANS
8270	TOPAMAX25 MG	199888	topiramate 25 MG Oral Tablet	38404	topiramate	N03AX	OTHER ANTIEPILEPTICS	N03A	ANTIEPILEPTICS	N03	ANTIEPILEPTICS	N	NERVOUS SYSTEM
8271	FLUPHENAZIN2.5 MG/ML	865129	fluphenazine hydrochloride 2.5 MG/ML Injectable Solution	4496	fluphenazine	N05AB	PHENOTHIAZINES WITH PIPERAZINE STRUCTURE	N05A	ANTIPSYCHOTICS	N05	PSYCHOLEPTICS	N	NERVOUS SYSTEM
8272	NOVOLIN 70100 UNIT/1	311048	insulin isophane, human 70 UNT/ML / insulin, regular, human 30 UNT/ML Injectable Suspension	1008501	insulin isophane / insulin, regular, human	A10AD	INSULINS AND ANALOGUES FOR INJECTION, INTERMEDIATE- OR LONG-ACTING COMBINED WITH FAST-ACTING	A10A	INSULINS AND ANALOGUES	A10	DRUGS USED IN DIABETES	A	ALIMENTARY TRACT AND METABOLISM
8273	REVLIMID15 MG	643712	lenalidomide 15 MG Oral Capsule	342369	lenalidomide	L04AX	OTHER IMMUNOSUPPRESSANTS	L04A	IMMUNOSUPPRESSANTS	L04	IMMUNOSUPPRESSANTS	L	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
8274	SINEMET10 100	197443	carbidopa 10 MG / levodopa 100 MG Oral Tablet	103990	carbidopa / levodopa	N04BA	DOPA AND DOPA DERIVATIVES	N04B	DOPAMINERGIC AGENTS	N04	ANTI-PARKINSON DRUGS	N	NERVOUS SYSTEM
8275	ADDERALL XR 2020 MG	861226	24 HR amphetamine aspartate 5 MG / amphetamine sulfate 5 MG / dextroamphetamine saccharate 5 MG / dextroamphetamine sulfate 5 MG Extended Release Oral Capsule [Adderall]	822929	amphetamine aspartate / amphetamine sulfate / dextroamphetamine saccharate / dextroamphetamine sulfate	N06BA	CENTRALLY ACTING SYMPATHOMIMETICS	N06B	PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS	N06	PSYCHOANALEPTICS	N	NERVOUS SYSTEM
8276	ATIVAN 2MG TABLE2 MG	197902	lorazepam 2 MG Oral Tablet	6470	lorazepam	N05BA	BENZODIAZEPINE DERIVATIVES	N05B	ANXIOLYTICS	N05	PSYCHOLEPTICS	N	NERVOUS SYSTEM
8277	PULMICORT1 MG/2 ML	616819	budesonide 0.5 MG/ML Inhalation Suspension [Pulmicort]	19831	budesonide	A07EA	CORTICOSTEROIDS ACTING LOCALLY	A07E	INTESTINAL ANTIINFLAMMATORY AGENTS	A07	ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS	A	ALIMENTARY TRACT AND METABOLISM
8278	PULMICORT1 MG/2 ML	616819	budesonide 0.5 MG/ML Inhalation Suspension [Pulmicort]	19831	budesonide	D07AC	CORTICOSTEROIDS, POTENT (GROUP III)	D07A	CORTICOSTEROIDS, PLAIN	D07	CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS	D	DERMATOLOGICALS
8279	PULMICORT1 MG/2 ML	616819	budesonide 0.5 MG/ML Inhalation Suspension [Pulmicort]	19831	budesonide	R01AD	CORTICOSTEROIDS	R01A	DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE	R01	NASAL PREPARATIONS	R	RESPIRATORY SYSTEM
8280	PULMICORT1 MG/2 ML	616819	budesonide 0.5 MG/ML Inhalation Suspension [Pulmicort]	19831	budesonide	R03BA	GLUCOCORTICOIDS	R03B	OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS	R03	DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES	R	RESPIRATORY SYSTEM
8281	ZEASORB71 GM	998461	miconazole nitrate 0.02 MG/MG Topical Powder	6932	miconazole	A01AB	ANTIINFECTIVES AND ANTISEPTICS FOR LOCAL ORAL TREATMENT	A01A	STOMATOLOGICAL PREPARATIONS	A01	STOMATOLOGICAL PREPARATIONS	A	ALIMENTARY TRACT AND METABOLISM
8282	ZEASORB71 GM	998461	miconazole nitrate 0.02 MG/MG Topical Powder	6932	miconazole	A07AC	IMIDAZOLE DERIVATIVES	A07A	INTESTINAL ANTIINFECTIVES	A07	ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS	A	ALIMENTARY TRACT AND METABOLISM
8283	ZEASORB71 GM	998461	miconazole nitrate 0.02 MG/MG Topical Powder	6932	miconazole	D01AC	IMIDAZOLE AND TRIAZOLE DERIVATIVES	D01A	ANTIFUNGALS FOR TOPICAL USE	D01	ANTIFUNGALS FOR DERMATOLOGICAL USE	D	DERMATOLOGICALS
8284	ZEASORB71 GM	998461	miconazole nitrate 0.02 MG/MG Topical Powder	6932	miconazole	G01AF	IMIDAZOLE DERIVATIVES	G01A	ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS	G01	GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS	G	GENITO URINARY SYSTEM AND SEX HORMONES
8285	ZEASORB71 GM	998461	miconazole nitrate 0.02 MG/MG Topical Powder	6932	miconazole	J02AB	IMIDAZOLE DERIVATIVES	J02A	ANTIMYCOTICS FOR SYSTEMIC USE	J02	ANTIMYCOTICS FOR SYSTEMIC USE	J	ANTIINFECTIVES FOR SYSTEMIC USE
8286	ZEASORB71 GM	998461	miconazole nitrate 0.02 MG/MG Topical Powder	6932	miconazole	S02AA	ANTIINFECTIVES	S02A	ANTIINFECTIVES	S02	OTOLOGICALS	S	SENSORY ORGANS
8287	ASPIRIN325 M1	198467	aspirin 325 MG Delayed Release Oral Tablet	1191	aspirin	A01AD	OTHER AGENTS FOR LOCAL ORAL TREATMENT	A01A	STOMATOLOGICAL PREPARATIONS	A01	STOMATOLOGICAL PREPARATIONS	A	ALIMENTARY TRACT AND METABOLISM
8288	ASPIRIN325 M1	198467	aspirin 325 MG Delayed Release Oral Tablet	1191	aspirin	B01AC	PLATELET AGGREGATION INHIBITORS EXCL. HEPARIN	B01A	ANTITHROMBOTIC AGENTS	B01	ANTITHROMBOTIC AGENTS	B	BLOOD AND BLOOD FORMING ORGANS
8289	ASPIRIN325 M1	198467	aspirin 325 MG Delayed Release Oral Tablet	1191	aspirin	N02BA	SALICYLIC ACID AND DERIVATIVES	N02B	OTHER ANALGESICS AND ANTIPYRETICS	N02	ANALGESICS	N	NERVOUS SYSTEM
8290	HUMIBID L.A.600 MG	636522	12 HR guaifenesin 600 MG Extended Release Oral Tablet	5032	guaifenesin	R05CA	EXPECTORANTS	R05C	EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS	R05	COUGH AND COLD PREPARATIONS	R	RESPIRATORY SYSTEM
8291	PROZAC20 MG	310385	fluoxetine 20 MG Oral Capsule	4493	fluoxetine	N06AB	SELECTIVE SEROTONIN REUPTAKE INHIBITORS	N06A	ANTIDEPRESSANTS	N06	PSYCHOANALEPTICS	N	NERVOUS SYSTEM
8292	NEURONTIN 100M100 MG	105028	gabapentin 100 MG Oral Capsule [Neurontin]	25480	gabapentin	N02BF	GABAPENTINOIDS	N02B	OTHER ANALGESICS AND ANTIPYRETICS	N02	ANALGESICS	N	NERVOUS SYSTEM
8293	MAG-AL PLUS SUS30 ML	307746	aluminum hydroxide 40 MG/ML / magnesium hydroxide 40 MG/ML / simethicone 4 MG/ML Oral Suspension	466588	aluminum hydroxide / magnesium hydroxide / simethicone	A02AF	ANTACIDS WITH ANTIFLATULENTS	A02A	ANTACIDS	A02	DRUGS FOR ACID RELATED DISORDERS	A	ALIMENTARY TRACT AND METABOLISM
8294	AUGMENTIN 500M500 MG	824190	amoxicillin 500 MG / clavulanate 125 MG Oral Tablet [Augmentin]	19711	amoxicillin / clavulanate	J01CR	COMBINATIONS OF PENICILLINS, INCL. BETA-LACTAMASE INHIBITORS	J01C	BETA-LACTAM ANTIBACTERIALS, PENICILLINS	J01	ANTIBACTERIALS FOR SYSTEMIC USE	J	ANTIINFECTIVES FOR SYSTEMIC USE
8295	DIPHENHYDRAMINE50 MG	1020477	diphenhydramine hydrochloride 50 MG Oral Capsule	3498	diphenhydramine	D04AA	ANTIHISTAMINES FOR TOPICAL USE	D04A	ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.	D04	ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.	D	DERMATOLOGICALS
